SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532504,NAVIN FLUORI,A ,Q,2524.85,2579.95,2495.80,2540.00,2540.00,2528.70,615,3598,9145131.00,
532505,UCOBANK     ,A ,Q,12.71,13.11,12.43,12.49,12.49,13.00,20642,2338772,29511768.00,
532507,BAG FIL MED ,B ,Q,2.26,2.31,2.21,2.22,2.22,2.32,66,61952,138636.00,
532508,JSL         ,A ,Q,67.00,67.00,65.10,65.50,65.60,65.70,432,67524,4439139.00,
532509,SUPRAJIT ENG,A ,Q,290.00,292.50,279.05,289.10,289.10,286.20,924,17401,4990888.00,
532513,TVSELE      ,T ,Q,138.55,141.00,133.00,137.25,135.00,134.40,119,7932,1082497.00,
532514,INDRA GAS   ,A ,Q,490.00,518.00,490.00,515.40,515.40,511.45,4524,251087,128403577.00,
532515,TV TODAY    ,A ,Q,275.00,275.00,263.65,269.15,268.35,269.50,158,2820,758642.00,
532521,PALRED      ,T ,Q,92.45,94.80,91.15,92.50,92.50,92.45,56,4713,436823.00,
532522,PETRONET LNG,A ,Q,225.90,230.75,225.80,228.90,229.10,223.45,2056,166677,38090768.00,
532523,BIOCON LTD. ,A ,Q,397.00,403.10,394.95,401.80,401.80,395.85,7764,500979,200786380.00,
532524,PTC INDIA   ,A ,Q,80.75,81.90,79.50,79.95,79.95,80.75,1155,284344,23036539.00,
532525,BANK MAHA   ,A ,Q,19.50,19.95,18.85,19.00,19.00,19.00,2432,832549,15966595.00,
532527,RK FORGINGS ,A ,Q,509.45,517.45,504.25,507.95,507.95,515.15,118,856,438139.00,
532528,DATAM GLOB  ,B ,Q,123.05,123.05,118.50,120.60,121.00,122.75,363,18097,2184093.00,
532529,NDTV        ,B ,Q,63.60,64.90,62.20,62.65,62.55,64.60,58,2467,155578.00,
532531,STAR        ,A ,Q,765.00,812.50,765.00,802.40,792.60,768.15,2351,64995,51149911.00,
532532,JAIPRA      ,A ,Q,7.11,7.15,6.86,7.01,7.01,6.88,4462,1674956,11759762.00,
532538,ULTRATECH CM,A ,Q,6690.00,6782.00,6635.45,6728.00,6729.85,6668.00,2554,19476,130506007.00,
532539,MINDA IND   ,A ,Q,576.20,591.80,551.60,558.25,554.35,571.10,1536,31452,17915525.00,
532540,TCS LTD.    ,A ,Q,3060.00,3139.00,3018.05,3129.60,3129.60,3063.25,10244,136270,420987766.00,
532541,COFORGE     ,A ,Q,2967.00,3011.00,2894.15,2920.15,2925.00,2967.70,1303,9771,28869245.00,
532543,GULFPETRO   ,B ,Q,39.50,40.00,38.70,39.05,39.00,39.30,61,9631,375809.00,
532548,CENTURYPLY  ,A ,Q,303.00,303.00,293.80,298.90,299.80,295.80,417,7740,2310837.00,
532553,WELENT      ,A ,Q,119.30,121.20,115.65,119.75,118.40,115.30,236,13210,1578993.00,
532555,NTPC LTD    ,A ,Q,108.50,110.50,107.00,110.00,110.00,108.50,8328,963631,105309860.00,
532604,SALSTEEL    ,B ,Q,3.50,3.61,3.36,3.40,3.40,3.51,32,18718,63811.00,
532605,JBM AUTO    ,B ,Q,424.80,434.30,418.40,422.60,422.60,431.55,489,5349,2272007.00,
532610,DWAR SUGAR  ,A ,Q,31.85,32.15,31.20,31.60,31.55,31.95,359,92751,2935708.00,
532612,INDOCO REM  ,A ,Q,282.30,283.15,278.80,280.70,280.05,279.50,266,1801,504979.00,
532613,VIPCLOTHNG  ,T ,Q,14.00,14.70,13.90,14.49,14.49,14.58,54,38764,552991.00,
