SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532441,RNBOWDENIM  ,X ,Q,1.30,1.30,1.27,1.27,1.27,1.30,3,72,92.00,
532443,CERA SANITAR,A ,Q,4009.80,4050.00,3996.80,4046.15,4050.00,3983.65,49,109,438962.00,
532454,BHARTI ARTL ,A ,Q,524.05,533.65,524.05,529.30,529.30,522.75,4793,401389,212706059.00,
532455,SHALIMAR WIR,X ,Q,4.70,4.70,4.43,4.59,4.60,4.66,16,485,2200.00,
532456,COMPUAGE INF,B ,Q,18.20,18.80,17.95,18.00,18.15,18.45,224,41396,753550.00,
532457,GULSHAN POLY,B ,Q,98.00,99.70,97.30,97.60,98.45,96.95,1308,102122,10038935.00,
532459,FAZE3AUTO   ,X ,Q,66.30,69.00,66.10,68.50,68.50,65.80,10,500,33311.00,
532460,PONNI SUG(ER,B ,Q,152.80,152.80,152.80,152.80,152.80,149.00,1,5,764.00,
532461,PUNJAB NATIO,A ,Q,41.30,41.40,39.60,39.80,39.80,40.80,12190,6506007,261324972.00,
532466,ORACLE FIN  ,A ,Q,3168.05,3296.95,3157.55,3258.65,3258.65,3147.30,679,3222,10414025.00,
532468,KAMAHOLDING ,A ,Q,5770.00,5780.00,5700.00,5700.00,5700.00,5642.90,15,25,143296.00,
532470,MATHER & PLA,XT,Q,6.06,6.37,6.06,6.37,6.37,6.37,2,5,31.00,
532475,APTECH LTD  ,A ,Q,209.80,218.65,209.10,210.00,210.80,210.35,984,74465,16003133.00,
532477,UNION BANK L,A ,Q,37.20,37.30,36.35,36.45,36.45,36.95,1883,512683,18839335.00,
532478,UNITED BREWA,A ,Q,1210.00,1224.00,1200.80,1218.40,1218.40,1206.20,534,6043,7319233.00,
532479,ISMT LTD    ,B ,Q,11.15,11.15,10.84,10.95,10.95,11.26,26,3995,44177.00,
532481,NOIDA-TOLL B,T ,Q,6.92,7.59,6.91,7.56,7.56,7.23,76,52493,389046.00,
532482,GRANULES (I),A ,Q,335.05,340.00,330.60,331.20,331.20,335.05,4439,111825,37367103.00,
532483,CANARA BANK ,A ,Q,158.90,159.85,154.30,157.60,157.60,158.30,6370,796453,125455279.00,
532485,BALMER LA.IN,B ,Q,512.00,514.85,500.00,507.60,514.00,506.15,854,36134,18266848.00,
532486,POKARNA LTD ,B ,Q,207.45,208.35,200.50,202.00,203.00,204.85,439,7804,1588285.00,
532488,DIVI'S LAB. ,A ,Q,3445.00,3445.00,3361.25,3378.20,3378.20,3410.35,2935,21957,74255905.00,
532493,ASTRA MICRO ,A ,Q,135.00,135.90,130.30,131.15,130.95,134.75,581,19146,2530941.00,
532497,RADICOKHAIT ,A ,Q,558.90,564.25,544.85,559.50,559.50,553.25,2353,125240,69844949.00,
532498,SHRMCITYUN  ,A ,Q,1501.45,1519.85,1490.00,1497.15,1497.90,1503.05,196,533,800385.00,
532500,MARUTISUZUK ,A ,Q,7118.00,7199.95,7101.00,7155.10,7149.95,7087.05,2725,28839,206355972.00,
532503,RAJAPAMILLS ,X ,Q,690.20,717.50,689.80,702.75,704.15,710.90,110,2252,1586032.00,
532504,NAVIN FLUORI,A ,Q,2612.00,2677.95,2612.00,2658.55,2669.45,2628.45,1114,49219,131244317.00,
532505,UCOBANK     ,A ,Q,14.20,14.33,13.88,13.99,13.99,14.08,6032,2955759,41812554.00,
532507,BAG FIL MED ,B ,Q,2.54,2.55,2.43,2.44,2.45,2.55,288,205962,503377.00,
532508,JSL         ,A ,Q,70.90,71.05,69.10,69.30,69.20,69.95,226,31205,2171581.00,
532509,SUPRAJIT ENG,A ,Q,292.95,294.45,284.85,285.80,286.40,287.60,611,11278,3252060.00,
532513,TVSELE      ,T ,Q,140.25,145.00,138.00,140.95,140.95,141.80,240,9063,1283663.00,
532514,INDRA GAS   ,A ,Q,506.00,512.70,502.00,505.85,505.85,505.70,2757,91226,46134972.00,
532515,TV TODAY    ,A ,Q,270.50,270.50,265.60,267.60,269.00,265.00,291,6254,1674781.00,
532521,PALRED      ,T ,Q,92.90,97.45,88.30,92.05,93.50,92.90,188,23384,2172323.00,
532522,PETRONET LNG,A ,Q,240.05,241.50,236.50,236.85,236.85,239.50,3106,271988,64495448.00,
